Wvl_nm	n	k
206.64	1.2541	1.7728
207.67	1.2603	1.7923
208.7	1.2668	1.8121
209.75	1.2737	1.8324
210.81	1.2808	1.853
211.88	1.2882	1.874
212.95	1.296	1.8955
214.04	1.3042	1.9174
215.15	1.3128	1.9397
216.26	1.3218	1.9625
217.38	1.3312	1.9859
218.52	1.3411	2.0097
219.67	1.3515	2.034
220.83	1.3625	2.0588
222	1.374	2.0842
223.18	1.3862	2.1102
224.38	1.399	2.1368
225.59	1.4126	2.1639
226.81	1.427	2.1917
228.05	1.4421	2.2201
229.3	1.4582	2.2491
230.57	1.4753	2.2788
231.84	1.4934	2.3091
233.14	1.5126	2.3401
234.44	1.533	2.3718
235.77	1.5548	2.4041
237.1	1.5781	2.4371
238.45	1.6028	2.4708
239.82	1.6293	2.505
241.2	1.6576	2.5398
242.6	1.6878	2.5752
244.02	1.7202	2.611
245.45	1.7549	2.6472
246.9	1.7921	2.6837
248.37	1.832	2.7203
249.85	1.8747	2.757
251.35	1.9206	2.7933
252.87	1.9697	2.8293
254.41	2.0224	2.8645
255.97	2.0787	2.8985
257.55	2.1388	2.9312
259.14	2.203	2.9618
260.76	2.2712	2.99
262.39	2.3434	3.0151
264.05	2.4197	3.0365
265.73	2.4997	3.0536
267.43	2.5832	3.0655
269.15	2.6698	3.0716
270.89	2.7587	3.0712
272.66	2.8492	3.0637
274.45	2.9403	3.0486
276.26	3.0309	3.0256
278.1	3.1197	2.9947
279.96	3.2056	2.956
281.85	3.2873	2.91
283.76	3.3636	2.8574
285.7	3.4336	2.7991
287.66	3.4967	2.7363
289.66	3.5522	2.6702
291.68	3.6	2.602
293.72	3.6402	2.533
295.8	3.673	2.4643
297.91	3.6989	2.397
300.05	3.7185	2.3318
302.22	3.7325	2.2695
304.42	3.7417	2.2105
306.65	3.7467	2.1552
308.91	3.7484	2.1039
311.21	3.7473	2.0565
313.54	3.7442	2.0131
315.91	3.7395	1.9737
318.32	3.7338	1.9381
320.76	3.7275	1.9062
323.24	3.721	1.8777
325.76	3.7146	1.8524
328.31	3.7087	1.8302
330.91	3.7034	1.8109
333.55	3.6989	1.7942
336.23	3.6955	1.7799
338.96	3.6932	1.7678
341.73	3.6923	1.7578
344.54	3.6928	1.7496
347.41	3.6947	1.7432
350.32	3.6983	1.7382
353.28	3.7036	1.7347
356.29	3.7106	1.7325
359.35	3.7194	1.7313
362.46	3.73	1.7312
365.63	3.7426	1.732
368.86	3.7573	1.7335
372.14	3.774	1.7357
375.48	3.7928	1.7386
378.88	3.8139	1.7419
382.35	3.8374	1.7456
385.88	3.8632	1.7496
389.47	3.8916	1.7538
393.13	3.9226	1.7582
396.86	3.9564	1.7626
400.66	3.9931	1.767
404.54	4.0328	1.7713
408.49	4.0756	1.7755
412.52	4.1216	1.7795
416.63	4.1705	1.7835
420.82	4.2222	1.7875
425.1	4.2758	1.7919
429.47	4.33	1.7971
433.92	4.3832	1.804
438.47	4.416	1.7691
443.12	4.4163	1.6587
447.86	4.4364	1.6034
452.71	4.4611	1.5622
457.67	4.4891	1.5283
462.73	4.5191	1.4992
467.91	4.549	1.4742
473.2	4.5746	1.4534
478.62	4.5909	1.438
484.16	4.7107	1.7698
489.83	4.6092	1.5138
495.64	4.5265	1.3304
501.58	4.4463	1.1689
507.67	4.3682	1.0161
513.91	4.2935	0.86563
520.3	4.2264	0.73073
526.86	4.1844	0.72078
533.58	4.1443	0.71021
540.48	4.1062	0.69901
547.56	4.0703	0.68717
554.82	4.0363	0.6747
562.28	4.0042	0.66162
569.94	3.9738	0.64796
577.82	3.945	0.63374
585.91	3.9176	0.61898
594.24	3.8917	0.60373
602.81	3.867	0.58799
611.62	3.8436	0.57179
620.7	3.8212	0.55517
630.05	3.7999	0.53814
639.69	3.7795	0.52074
649.63	3.7601	0.50298
659.88	3.7416	0.48491
670.46	3.724	0.46655
681.38	3.7071	0.44795
692.67	3.6911	0.42913
704.33	3.6758	0.41014
716.4	3.6613	0.39102
728.89	3.6475	0.37184
741.82	3.6344	0.35264
755.21	3.622	0.3335
769.1	3.6104	0.31448
