Wvl_nm	n	k
300	1	0
302	1	0
304	1	0
306	1	0
308	1	0
310	1	0
312	1	0
314	1	0
316	1	0
318	1	0
320	1	0
322	1	0
324	1	0
326	1	0
328	1	0
330	1	0
332	1	0
334	1	0
336	1	0
338	1	0
340	1	0
342	1	0
344	1	0
346	1	0
348	1	0
350	1	0
352	1	0
354	1	0
356	1	0
358	1	0
360	1	0
362	1	0
364	1	0
366	1	0
368	1	0
370	1	0
372	1	0
374	1	0
376	1	0
378	1	0
380	1	0
382	1	0
384	1	0
386	1	0
388	1	0
390	1	0
392	1	0
394	1	0
396	1	0
398	1	0
400	1	0
402	1	0
404	1	0
406	1	0
408	1	0
410	1	0
412	1	0
414	1	0
416	1	0
418	1	0
420	1	0
422	1	0
424	1	0
426	1	0
428	1	0
430	1	0
432	1	0
434	1	0
436	1	0
438	1	0
440	1	0
442	1	0
444	1	0
446	1	0
448	1	0
450	1	0
452	1	0
454	1	0
456	1	0
458	1	0
460	1	0
462	1	0
464	1	0
466	1	0
468	1	0
470	1	0
472	1	0
474	1	0
476	1	0
478	1	0
480	1	0
482	1	0
484	1	0
486	1	0
488	1	0
490	1	0
492	1	0
494	1	0
496	1	0
498	1	0
500	1	0
502	1	0
504	1	0
506	1	0
508	1	0
510	1	0
512	1	0
514	1	0
516	1	0
518	1	0
520	1	0
522	1	0
524	1	0
526	1	0
528	1	0
530	1	0
532	1	0
534	1	0
536	1	0
538	1	0
540	1	0
542	1	0
544	1	0
546	1	0
548	1	0
550	1	0
552	1	0
554	1	0
556	1	0
558	1	0
560	1	0
562	1	0
564	1	0
566	1	0
568	1	0
570	1	0
572	1	0
574	1	0
576	1	0
578	1	0
580	1	0
582	1	0
584	1	0
586	1	0
588	1	0
590	1	0
592	1	0
594	1	0
596	1	0
598	1	0
600	1	0
602	1	0
604	1	0
606	1	0
608	1	0
610	1	0
612	1	0
614	1	0
616	1	0
618	1	0
620	1	0
622	1	0
624	1	0
626	1	0
628	1	0
630	1	0
632	1	0
634	1	0
636	1	0
638	1	0
640	1	0
642	1	0
644	1	0
646	1	0
648	1	0
650	1	0
652	1	0
654	1	0
656	1	0
658	1	0
660	1	0
662	1	0
664	1	0
666	1	0
668	1	0
670	1	0
672	1	0
674	1	0
676	1	0
678	1	0
680	1	0
682	1	0
684	1	0
686	1	0
688	1	0
690	1	0
692	1	0
694	1	0
696	1	0
698	1	0
700	1	0
702	1	0
704	1	0
706	1	0
708	1	0
710	1	0
712	1	0
714	1	0
716	1	0
718	1	0
720	1	0
722	1	0
724	1	0
726	1	0
728	1	0
730	1	0
732	1	0
734	1	0
736	1	0
738	1	0
740	1	0
742	1	0
744	1	0
746	1	0
748	1	0
750	1	0
752	1	0
754	1	0
756	1	0
758	1	0
760	1	0
762	1	0
764	1	0
766	1	0
768	1	0
770	1	0
772	1	0
774	1	0
776	1	0
778	1	0
780	1	0
782	1	0
784	1	0
786	1	0
788	1	0
790	1	0
792	1	0
794	1	0
796	1	0
798	1	0
800	1	0
802	1	0
804	1	0
806	1	0
808	1	0
810	1	0
812	1	0
814	1	0
816	1	0
818	1	0
820	1	0
822	1	0
824	1	0
826	1	0
828	1	0
830	1	0
832	1	0
834	1	0
836	1	0
838	1	0
840	1	0
842	1	0
844	1	0
846	1	0
848	1	0
850	1	0
852	1	0
854	1	0
856	1	0
858	1	0
860	1	0
862	1	0
864	1	0
866	1	0
868	1	0
870	1	0
872	1	0
874	1	0
876	1	0
878	1	0
880	1	0
882	1	0
884	1	0
886	1	0
888	1	0
890	1	0
892	1	0
894	1	0
896	1	0
898	1	0
900	1	0
902	1	0
904	1	0
906	1	0
908	1	0
910	1	0
