depth	poynting vector s	poynting vector p	poynting vector	absorption
nm	W/m^2	W/m^2	W/m^2	1/(s*m^3)
-150	380.4741605789013	380.4741605789013	760.9483211578026	0
-142.5	380.4741605789013	380.4741605789013	760.9483211578026	0
-135	380.4741605789013	380.4741605789013	760.9483211578026	0
-127.5	380.4741605789013	380.4741605789013	760.9483211578026	0
-120	380.4741605789014	380.4741605789014	760.9483211578028	0
-112.5	380.4741605789014	380.4741605789014	760.9483211578028	0
-105	380.47416057890126	380.47416057890126	760.9483211578025	0
-97.5	380.47416057890126	380.47416057890126	760.9483211578025	0
-90	380.4741605789014	380.4741605789014	760.9483211578028	0
-82.5	380.47416057890126	380.47416057890126	760.9483211578025	0
-75	380.47416057890126	380.47416057890126	760.9483211578025	0
-67.5	380.4741605789013	380.4741605789013	760.9483211578026	0
-60	380.4741605789014	380.4741605789014	760.9483211578028	0
-52.5	380.47416057890126	380.47416057890126	760.9483211578025	0
-45	380.47416057890126	380.47416057890126	760.9483211578025	0
-37.5	380.47416057890126	380.47416057890126	760.9483211578025	0
-30	380.4741605789013	380.4741605789013	760.9483211578026	0
-22.5	380.4741605789014	380.4741605789014	760.9483211578028	0
-15	380.47416057890126	380.47416057890126	760.9483211578025	0
-7.5	380.47416057890126	380.47416057890126	760.9483211578025	0
0	380.47416057890143	380.47416057890143	760.9483211578029	6.802972573087265E+26
7.5	379.8189413400591	379.8189413400591	759.6378826801182	6.755665129956008E+26
15	379.1759751823466	379.1759751823466	758.3519503646932	6.692629606282342E+26
22.5	378.5464676411288	378.5464676411288	757.0929352822576	6.622483082608332E+26
30	377.9297455062222	377.9297455062222	755.8594910124444	6.55378522555378E+26
37.5	377.32359173252064	377.32359173252064	754.6471834650413	6.492163836897477E+26
45	376.7251144821162	376.7251144821162	753.4502289642325	6.43846002310827E+26
52.5	376.131857850987	376.131857850987	752.263715701974	6.3885639771345E+26
60	375.54276748168934	375.54276748168934	751.0855349633787	6.335042397415571E+26
67.5	374.9586625087789	374.9586625087789	749.9173250175578	6.270030060234745E+26
75	374.38202839124426	374.38202839124426	748.7640567824885	6.188390715293182E+26
82.5	373.81618073541733	373.81618073541733	747.6323614708347	6.090019146799335E+26
90	373.26407755881854	373.26407755881854	746.5281551176371	5.9804191228928366E+26
97.5	372.72719510878915	372.72719510878915	745.4543902175783	5.869274966535651E+26
105	372.2048770912857	372.2048770912857	744.4097541825714	5.767443688444952E+26
112.5	371.69441442486897	371.69441442486897	743.3888288497379	5.683381875822437E+26
120	371.19186052894895	371.19186052894895	742.3837210578979	5.620270731270101E+26
127.5	370.69332174810353	370.69332174810353	741.3866434962071	5.574908834054571E+26
135	370.1962787069799	370.1962787069799	740.3925574139598	5.538854567726331E+26
142.5	369.7004621874903	369.7004621874903	739.4009243749806	5.5015118347245735E+26
150	369.20794521478257	369.20794521478257	738.4158904295651	5.45413804549819E+26
157.5	368.72237962032864	368.72237962032864	737.4447592406573	5.3933731302285217E+26
165	368.24761031263404	368.24761031263404	736.4952206252681	5.3229948955447694E+26
172.5	367.7861356650751	367.7861356650751	735.5722713301502	5.2531835282003046E+26
180	367.3379598121513	367.3379598121513	734.6759196243027	5.197440083667675E+26
187.5	366.900267087429	366.900267087429	733.800534174858	5.1681529530308726E+26
195	366.46807319713776	366.46807319713776	732.9361463942755	5.172336293120524E+26
202.5	366.035664095065	366.035664095065	732.07132819013	5.20907022931294E+26
210	365.5983426397431	365.5983426397431	731.1966852794862	5.269629084250487E+26
217.5	365.15387201977245	365.15387201977245	730.3077440395449	5.340362562885204E+26
225	364.7030877318969	364.7030877318969	729.4061754637938	5.407410830090158E+26
232.5	364.2494259320423	364.2494259320423	728.4988518640846	5.461638819080402E+26
240	363.79749410752794	363.79749410752794	727.5949882150559	5.502029852809718E+26
247.5	363.3511585457458	363.3511585457458	726.7023170914916	5.536258425322111E+26
255	362.91181559491986	362.91181559491986	725.8236311898397	5.578119635318356E+26
262.5	362.4774748998223	362.4774748998223	724.9549497996446	5.642603475782638E+26
270	362.0430175745199	362.0430175745199	724.0860351490398	5.7402735068883E+26
277.5	361.60158715559794	361.60158715559794	723.2031743111959	5.872919998708908E+26
285	361.1466661943073	361.1466661943073	722.2933323886145	6.032075484682696E+26
