angle	reflected s	reflected p
°	%	%
0	52.72805510238251	52.72805510238251
1	52.72967321441997	52.72711741498449
2	52.73453143779585	52.72430334100194
3	52.742641409407554	52.7196098307505
4	52.754022441686324	52.71303175446139
5	52.76870140103752	52.70456183448836
6	52.78671254178667	52.69419055558032
7	52.808097299877645	52.6819060581274
8	52.83290405192479	52.667694020307984
9	52.861187846635474	52.65153753580376
10	52.89301011705619	52.633416994168336
11	52.92843838349241	52.61330997099684
12	52.9675459582101	52.591191134739866
13	53.01041166402347	52.56703217633781
14	53.057119579463006	52.54080176686004
15	53.107758823231286	52.512465547077994
16	53.16242338994213	52.48198615146589
17	53.221212047557685	52.449323267614986
18	53.2842283044167	52.4144337305799
19	53.35158045028496	52.37727165036652
20	53.423381671579286	52.33778856972269
21	53.49975023606539	52.29593364869736
22	53.58080973730254	52.25165387215558
23	53.66668938441377	52.20489427664119
24	53.75752431898776	52.15559819370959
25	53.8534559386793	52.103707508170395
26	53.95463220690988	52.04916293164883
27	54.06120793037399	51.99190429454603
28	54.17334499101576	51.931870862892424
29	54.29121252665398	51.86900169070292
30	54.41498706412585	51.803236023129585
31	54.54485262000281	51.73451377070777
32	54.68100079564559	51.66277607993356
33	54.82363090438823	51.58796602983895
34	54.97295017754414	51.510029487692385
35	55.129174101145665	51.42891615905526
36	55.292526935285515	51.34458086794864
37	55.46324246123532	51.256985101794506
38	55.6415649871859	51.16609885328276
39	55.82775062119387	51.07190278774228
40	56.022068790386236	50.97439076047705
41	56.224803950534906	50.87357270446006
42	56.43625739306224	50.769477905431295
43	56.656749022226805	50.66215867951206
44	56.8866189500263	50.55169446866169
45	57.126228747774945	50.4381963723667
46	57.37596220920624	50.32181214048877
47	57.63622552702204	50.20273166264238
48	57.90744686633376	50.08119300395568
49	58.19007543150019	49.9574890553629
50	58.48458025571199	49.831974888086336
51	58.7914490737483	49.705075925893574
52	59.11118773862118	49.57729707425389
53	59.44432068235987	49.44923297222806
54	59.791392878672134	49.32157956097466
55	60.15297363724289	49.19514719316853
56	60.529662364959606	49.070875542288064
57	60.92209620657671	48.949850612297425
58	61.33095927345019	48.833324199908766
59	61.75699302716108	48.72273622687163
60	62.201007333518575	48.61974044230598
61	62.6638917503628	48.52623409898808
62	63.14662674985977	48.44439233732835
63	63.65029477843017	48.37670817233658
64	64.17609129208542	48.32603917984459
65	64.72533613543054	48.29566222921608
66	65.29948582549571	48.289337925286915
67	65.90014743407237	48.311386822418115
68	66.52909483043405	48.36677998584973
69	67.18828807136033	48.461247137792554
70	67.87989675463933	48.60140649003324
71	68.60632825461023	48.794921503960325
72	69.37026201648037	49.05069133573232
73	70.174691591407	49.379083767074576
74	71.02297695166897	49.792222208991014
75	71.91891097569838	50.304342224759324
76	72.86680606078005	50.93223845653141
77	73.87160999970241	51.69583066006208
78	74.93906525657138	52.61888906578566
79	76.07593389435561	53.729976696032466
80	77.29032404708133	55.063693392445245
81	78.59217754310271	56.662349924085554
82	79.99402093324589	58.57827296851623
83	81.51216161957517	60.87706565320443
84	83.16866449565633	63.64236539583526
85	84.99475500885771	66.9830253191379
86	87.0369549816096	71.04431681632607
87	89.36876023779271	76.02583677908503
88	92.11443410696377	82.21013344762876
89	95.50230025489795	90.00581959342716
90	100	100
